date,test_num,time
2013-11-01,10,679083.896792
2013-11-01,9,684721.429637
2013-11-01,8,644052.982431
2013-11-01,6,685322.066551
2013-11-01,2,682629.765757
2013-11-01,4,682905.67374
2013-11-01,5,681913.139876
2013-11-01,3,670153.028249
2013-11-01,7,664053.664165
2013-11-01,1,695935.008554
2013-11-02,1,748303.921008
2013-11-02,3,722374.053577
2013-11-02,7,729566.699402
2013-11-02,6,740443.254327
2013-11-02,8,649544.043857
2013-11-02,5,749238.179335
2013-11-02,2,760437.347299
2013-11-02,4,691341.500902
2013-11-02,10,692210.726404
2013-11-02,9,700229.291904
2013-11-03,9,745126.432772
2013-11-03,6,728207.188651
2013-11-03,5,684389.380681
2013-11-03,1,739958.922763
2013-11-03,8,695014.105958
2013-11-03,10,726571.534485
2013-11-03,3,747525.545977
2013-11-03,2,532892.349267
2013-11-03,4,746630.553828
2013-11-03,7,695049.181493
2013-11-04,5,870844.19573
2013-11-04,8,865456.54552
2013-11-04,3,551847.11045
2013-11-04,4,845108.77129
2013-11-04,2,876962.704739
2013-11-04,7,583512.014841
2013-11-04,10,887192.528499
2013-11-04,6,894214.01151
2013-11-04,1,872336.21062
2013-11-04,9,873612.200364
2013-11-05,7,869088.596037
2013-11-05,6,876617.482027
2013-11-05,8,884830.476285
2013-11-05,4,844082.726454
2013-11-05,10,820943.026093
2013-11-05,5,773300.584702
2013-11-05,9,894110.070007
2013-11-05,2,857720.279315
2013-11-05,1,848577.099267
2013-11-05,3,567110.133042
2013-11-06,9,840461.8387
2013-11-06,2,897228.97494
2013-11-06,7,893391.757328
2013-11-06,5,841053.057855
2013-11-06,3,589519.210677
2013-11-06,4,554904.947844
2013-11-06,6,892543.683644
2013-11-06,10,892846.28099
2013-11-06,8,870380.039856
2013-11-06,1,839820.966915
2013-11-07,9,865390.041556
2013-11-07,7,848197.902551
2013-11-07,8,863962.179247
2013-11-07,1,835225.497291
2013-11-07,5,851975.52985
2013-11-07,6,870102.93928
2013-11-07,3,860238.57038
2013-11-07,2,834438.733896
2013-11-07,10,852814.716258
2013-11-07,4,849293.86695
2013-11-08,10,832368.869853
2013-11-08,1,852182.735725
2013-11-08,7,854320.034839
2013-11-08,8,883939.149253
2013-11-08,2,872851.427497
2013-11-08,9,886336.708361
2013-11-08,4,839634.53883
2013-11-08,6,845837.517855
2013-11-08,5,849877.862233
2013-11-08,3,879871.213136
2013-11-09,10,757876.854192
2013-11-09,5,718909.184709
2013-11-09,7,500428.904873
2013-11-09,4,727212.406774
2013-11-09,1,769459.606246
2013-11-09,6,750227.45418
2013-11-09,9,750360.143259
2013-11-09,2,756377.887696
2013-11-09,3,549853.523348
2013-11-09,8,739520.05415
2013-11-10,4,737352.275129
2013-11-10,5,728549.789574
2013-11-10,3,734515.719849
2013-11-10,6,718502.692305
2013-11-10,9,742743.816015
2013-11-10,1,708127.274235
2013-11-10,10,525012.322622
2013-11-10,8,727184.042989
2013-11-10,2,733713.209096
2013-11-10,7,741433.18695
2013-11-11,1,879804.213173
2013-11-11,10,910299.223826
2013-11-11,8,924638.848413
2013-11-11,3,828348.455305
2013-11-11,7,866121.609497
2013-11-11,5,897563.675793
2013-11-11,2,865147.395663
2013-11-11,4,882966.125358
2013-11-11,9,882858.005778
2013-11-11,6,878595.601068
2013-11-12,2,876311.447885
2013-11-12,9,855622.704438
2013-11-12,4,980650.123819
2013-11-12,6,910573.023909
2013-11-12,3,993375.75569
2013-11-12,5,939745.418787
2013-11-12,8,863467.709105
2013-11-12,7,836862.337277
2013-11-12,10,754730.385245
2013-11-12,1,891070.952206
2013-11-13,5,886028.884709
2013-11-13,9,872224.741529
2013-11-13,8,836831.683639
2013-11-13,3,863051.339476
2013-11-13,4,895723.64987
2013-11-13,10,886668.130052
2013-11-13,7,839711.996001
2013-11-13,6,853139.85973
2013-11-13,2,883850.290853
2013-11-13,1,878020.349266
2013-11-14,2,875322.910896
2013-11-14,7,835761.369662
2013-11-14,6,856489.116946
2013-11-14,10,902492.612028
2013-11-14,1,882077.917362
2013-11-14,3,868845.112655
2013-11-14,5,902036.01592
2013-11-14,4,846104.792699
2013-11-14,9,881008.095061
2013-11-14,8,883971.015759
2013-11-15,7,852583.153717
2013-11-15,9,885352.288213
2013-11-15,8,855333.311238
2013-11-15,3,571813.083927
2013-11-15,10,892279.049257
2013-11-15,1,850339.397385
2013-11-15,4,596698.308981
2013-11-15,6,856664.700769
2013-11-15,5,848262.446348
2013-11-15,2,880526.36999
2013-11-16,6,754303.565929
2013-11-16,10,766805.005232
2013-11-16,5,752552.021041
2013-11-16,7,760816.095158
2013-11-16,2,715356.145741
2013-11-16,4,718031.413973
2013-11-16,9,759929.977738
2013-11-16,1,732998.534172
2013-11-16,8,764047.22186
2013-11-16,3,768191.234247
2013-11-17,4,703075.964331
2013-11-17,9,704409.741215
2013-11-17,10,725440.396932
2013-11-17,3,711818.831392
2013-11-17,8,723095.686115
2013-11-17,5,730388.282429
2013-11-17,7,696682.821462
2013-11-17,2,723164.324574
2013-11-17,1,737433.835298
2013-11-17,6,701128.124983
2013-11-18,8,862542.609388
2013-11-18,3,856539.840738
2013-11-18,2,820859.003428
2013-11-18,1,876133.235327
2013-11-18,10,647583.637355
2013-11-18,5,833070.909957
2013-11-18,6,890513.342978
2013-11-18,9,859654.495337
2013-11-18,4,845885.915209
2013-11-18,7,854715.221975
2013-11-19,5,848102.253526
2013-11-19,6,848218.49297
2013-11-19,7,892949.962408
2013-11-19,8,829991.913656
2013-11-19,10,859799.807033
2013-11-19,3,859753.216415
2013-11-19,1,854998.474782
2013-11-19,4,822802.837381
2013-11-19,9,881847.741435
2013-11-19,2,852097.457858
2013-11-20,9,856727.765967
2013-11-20,7,890052.927085
2013-11-20,10,873847.097711
2013-11-20,3,861601.77022
2013-11-20,2,901967.814235
2013-11-20,8,868120.780482
2013-11-20,4,834393.248881
2013-11-20,5,881193.917947
2013-11-20,6,886492.685556
2013-11-20,1,878451.504279
2013-11-21,5,868104.568644
2013-11-21,7,845856.442654
2013-11-21,1,840540.61376
2013-11-21,4,833755.05193
2013-11-21,2,833140.197138
2013-11-21,8,867021.293141
2013-11-21,3,853072.428442
2013-11-21,10,840350.553488
2013-11-21,6,842713.987158
2013-11-21,9,871161.942248
2013-11-22,10,840008.053392
2013-11-22,1,833374.840268
2013-11-22,8,873178.499804
2013-11-22,6,883030.669793
2013-11-22,4,817659.495291
2013-11-22,9,842446.373119
2013-11-22,7,861810.456469
2013-11-22,2,831350.177516
2013-11-22,3,860517.112834
2013-11-22,5,868795.923757
2013-11-23,5,696431.417605
2013-11-23,1,698336.18582
2013-11-23,4,651964.188062
2013-11-23,7,653789.972602
2013-11-23,9,713978.719234
2013-11-23,8,685663.572996
2013-11-23,2,686191.35994
2013-11-23,3,673824.279599
2013-11-23,10,696724.404771
2013-11-23,6,702871.818051
2013-11-24,7,713760.065173
2013-11-24,9,683434.973611
2013-11-24,8,678609.715509
2013-11-24,10,697394.781257
2013-11-24,1,715016.705287
2013-11-24,6,685492.107751
2013-11-24,2,711814.963762
2013-11-24,5,709465.264073
2013-11-24,4,722391.452009
2013-11-24,3,698937.468669
2013-11-25,7,853220.20202
2013-11-25,6,870182.760395
2013-11-25,2,855995.7723
2013-11-25,3,808510.647782
2013-11-25,10,863516.411565
2013-11-25,5,561094.804527
2013-11-25,4,861404.099526
2013-11-25,9,842416.948305
2013-11-25,1,865275.497479
2013-11-25,8,836025.719505
2013-11-26,8,865322.954137
2013-11-26,4,876940.208127
2013-11-26,1,886184.749434
2013-11-26,10,854496.663052
2013-11-26,7,849831.311256
2013-11-26,2,868320.559147
2013-11-26,5,855824.49377
2013-11-26,9,790645.657886
2013-11-26,6,833690.270803
2013-11-26,3,819504.70689
2013-11-27,9,859187.822169
2013-11-27,7,860902.900764
2013-11-27,6,831967.571643
2013-11-27,1,815806.770841
2013-11-27,2,865923.808823
2013-11-27,3,847405.755199
2013-11-27,5,803607.757922
2013-11-27,8,868351.146979
2013-11-27,4,823941.620202
2013-11-27,10,862789.86029
2013-11-28,2,848625.601965
2013-11-28,3,837838.462721
2013-11-28,10,578434.688947
2013-11-28,6,853209.640608
2013-11-28,9,832513.929821
2013-11-28,5,864730.793356
2013-11-28,4,837360.226949
2013-11-28,1,853531.516057
2013-11-28,8,587501.30484
2013-11-28,7,821059.858829
2013-11-29,6,863441.07311
2013-11-29,9,582563.4762
2013-11-29,1,851928.532463
2013-11-29,3,854957.114665
2013-11-29,2,841907.656512
2013-11-29,5,829746.793758
2013-11-29,8,827061.503966
2013-11-29,7,874766.057822
2013-11-29,10,850555.073728
2013-11-29,4,827186.960866
2013-11-30,1,735586.57992
2013-11-30,7,728550.251493
2013-11-30,10,741714.685896
2013-11-30,9,741568.58436
2013-11-30,8,754110.561284
2013-11-30,4,730127.604011
2013-11-30,3,771084.87973
2013-11-30,6,770702.178272
2013-11-30,5,716098.712149
2013-11-30,2,753750.070649
